书名,作者,价格,出版社
米小圈日记本：飞翔,北猫,25.7,四川少年儿童出版社
米小圈上学记一年级--四年级（套装共16册）小学生课外阅读书籍,北猫,396.0,四川少年儿童出版社
乌丢丢的奇遇 曹文轩推荐儿童文学经典书系,金波,14.9,北京教育出版社
中央帝国密码三部曲（财政密码，哲学密码，军事密码）,郭建龙,197.1,鹭江出版社
不一样的卡梅拉动漫绘本13-22·套装共10册,克里斯提昂.约里波瓦,95.0,二十一世纪出版社
小鹿斑比,萨尔腾,51.0,吉林美术出版社
3-6岁少儿揭秘科普翻翻书（套装共12册）揭秘系列好玩又好学 乐乐趣童书出品,克里斯·奥克雷德,458.8,未来出版社
村上春树：1Q84 BOOK 1-3 套装2018版,村上春树,111.6,南海出版公司
生命的故事（共30册）新版（两种包装随机发货）,新开孝,300.0,时代出版传媒股份有限公司
一战战史全集 世界大战 战争形势和战略战术 武器 政治军事历史战争战略,,3.8,吉林文史出版社
人间失格（最新修订精装典藏本）,太宰治,26.1,武汉出版社
小屁孩日记 中英双语（套装1-22册）,杰夫·金尼,320.0,新世纪出版社
揭秘海洋（3-6岁少儿科普翻翻书）揭秘系列好玩又好学 乐乐趣童书出品,阿妮塔·盖恩瑞,54.0,未来出版社
信谊绘本世界精选图画书：青蛙和蟾蜍 （套装4册）,艾诺·洛贝尔,62.8,明天出版社
福尔摩斯探案集全集 青少版少儿版全4册 学校指定 小学生阅读课外书必读少儿文学悬疑推理小说售后,,3.8,延边大学出版社
幽默教育绘本：11只猫（调皮的孩子也聪明套装共6册）,马场登,140.0,北京联合出版公司
注音版一年级课外书小学生课外阅读书籍儿童书籍7-10岁读物 二年级课外阅读三年级课外书 海底两万里 世界名著全10册,,29.8,辽海出版社
3-6岁托托踢踢·了不起的情绪力（套装全6册）,美里克斯尔·马蒂,142.5,长江少年儿童出版社
洋洋兔童书·我们的宋词：画给孩子的绝美人间词话,洋洋兔,31.5,群言出版社
一粒种子的旅行 （爱心树童书）,安妮·默勒,35.0,南海出版公司
我与地坛（2018修订版）,史铁生,24.8,人民文学出版社
你看起来好像很好吃 让孩子学会克制和爱的绘本 蒲蒲兰绘本,宫西达也,36.4,二十一世纪出版社
漫画算法：小灰的算法之旅（全彩）（限量签名 随机发售）,魏梦舒,75.1,电子工业出版社
米小圈上学记四年级（套装共4册）小学生课外阅读书籍,北猫,99.0,四川少年儿童出版社
万历十五年（精装）,黄仁宇,31.5,生活·读书·新知三联书店
米小圈日记本：飞翔,北猫,25.7,四川少年儿童出版社
米小圈上学记一年级--四年级（套装共16册）小学生课外阅读书籍,北猫,396.0,四川少年儿童出版社
乌丢丢的奇遇 曹文轩推荐儿童文学经典书系,金波,14.9,北京教育出版社
中央帝国密码三部曲（财政密码，哲学密码，军事密码）,郭建龙,197.1,鹭江出版社
不一样的卡梅拉动漫绘本13-22·套装共10册,克里斯提昂.约里波瓦,95.0,二十一世纪出版社
小鹿斑比,萨尔腾,51.0,吉林美术出版社
3-6岁少儿揭秘科普翻翻书（套装共12册）揭秘系列好玩又好学 乐乐趣童书出品,克里斯·奥克雷德,458.8,未来出版社
村上春树：1Q84 BOOK 1-3 套装2018版,村上春树,111.6,南海出版公司
生命的故事（共30册）新版（两种包装随机发货）,新开孝,300.0,时代出版传媒股份有限公司
一战战史全集 世界大战 战争形势和战略战术 武器 政治军事历史战争战略,,3.8,吉林文史出版社
人间失格（最新修订精装典藏本）,太宰治,26.1,武汉出版社
小屁孩日记 中英双语（套装1-22册）,杰夫·金尼,320.0,新世纪出版社
揭秘海洋（3-6岁少儿科普翻翻书）揭秘系列好玩又好学 乐乐趣童书出品,阿妮塔·盖恩瑞,54.0,未来出版社
信谊绘本世界精选图画书：青蛙和蟾蜍 （套装4册）,艾诺·洛贝尔,62.8,明天出版社
福尔摩斯探案集全集 青少版少儿版全4册 学校指定 小学生阅读课外书必读少儿文学悬疑推理小说售后,,3.8,延边大学出版社
幽默教育绘本：11只猫（调皮的孩子也聪明套装共6册）,马场登,140.0,北京联合出版公司
注音版一年级课外书小学生课外阅读书籍儿童书籍7-10岁读物 二年级课外阅读三年级课外书 海底两万里 世界名著全10册,,29.8,辽海出版社
时代广场的蟋蟀：三年级推荐课外阅读书（麦克米伦世纪童书馆）,乔治.塞尔登,17.1,二十一世纪出版社
抖音推荐励志书籍10册 你不努力没人能给你想要的生活全十册 戒了吧拖延症 别在吃苦的年纪选择安逸,,38.0,研究出版社
Python项目开发案例集锦（全彩版）,明日科技,90.5,吉林大学出版社
小英雄雨来 曹文轩推荐儿童文学经典书系,管桦,14.1,北京教育出版社
做最好的自己10册注音版 一年级读物小学生二三年级课外阅读书籍 儿童文学7-10岁少儿,,38.0,湖北美术出版社
村上春树：当我谈跑步时，我谈些什么（2015版）,村上春树,34.2,南海出版公司
小王子（畅销350万册新版，法国“圣埃克苏佩里基金会”官方认可简体中文版）【果麦经典】,果麦文化 出品；安托万·德·圣埃克苏佩里,39.0,天津人民出版社
动物小说大王沈石溪·品藏书系新版：狼王梦,沈石溪,25.7,浙江少年儿童出版社
深入理解Java虚拟机：JVM高级特性与最佳实践（第2版）,周志明,65.2,机械工业出版社
暖房子游乐园·宫西达也小卡车绘本全5册（附赠5个授权小卡车拼插模型）,宫西达也,123.8,北京联合出版公司
和小鸡球球一起玩（套装共6册）（新版）,,150.0,
走进奇妙的数学世界（套装全3册） （爱心树童书）,安野光雅,117.6,新星出版社
中国大历史：两晋南北朝+明史+秦汉史+清史+宋辽金夏元+隋唐五代+先秦史+中国近代史（套装共10册 第2版）,吕思勉,210.0,北京理工大学出版社
抖音推荐 励志书籍全10册 你不努力没人能给你想要的生活全十册 别在吃苦的年纪选择安逸 青春励志书籍,,39.8,青岛出版社
写给儿童的中华成语故事：彩图注音版（套装全四册）,刘建峰,94.8,吉林美术出版社
三毛全集02：撒哈拉的故事,三毛,35.0,北京十月文艺出版社
赋能：打造应对不确定性的敏捷团队,斯坦利·麦克里斯特尔,43.5,中信出版集团
揭秘古诗词/二十四节气/丝绸之路/汉字（3-6岁少儿科普翻翻书套装共4册）揭秘系列好玩又好学 乐乐趣童书出品,郭志瑞,199.0,未来出版社
汤姆.索亚历险记（世界文学名著少儿拓展阅读·注音版）,马克吐温,53.1,江西美术出版社
繁华落尽是孤独,季羡林,37.0,鹭江出版社
朝花夕拾 语文新课标必读丛书 教育部推荐中小学生必读名著,鲁迅,13.8,北京师范大学出版社
一条聪明的鱼 小学指定书单必备 蒲蒲兰绘本,克里斯·沃梅尔,35.4,连环画出版社
DK儿童数学思维手册,迈克·戈德史密斯,50.0,科学普及出版社
对比Excel，轻松学习Python数据分析,张俊红,56.1,电子工业出版社
东野圭吾：我杀了他,东野圭吾,52.3,南海出版公司
东野圭吾：秘密（无删节精装典藏版）,东野圭吾,45.0,南海出版公司
时代广场的蟋蟀：三年级推荐课外阅读书（麦克米伦世纪童书馆）,乔治.塞尔登,17.1,二十一世纪出版社
抖音推荐励志书籍10册 你不努力没人能给你想要的生活全十册 戒了吧拖延症 别在吃苦的年纪选择安逸,,38.0,研究出版社
Python项目开发案例集锦（全彩版）,明日科技,90.5,吉林大学出版社
小英雄雨来 曹文轩推荐儿童文学经典书系,管桦,14.1,北京教育出版社
做最好的自己10册注音版 一年级读物小学生二三年级课外阅读书籍 儿童文学7-10岁少儿,,38.0,湖北美术出版社
村上春树：当我谈跑步时，我谈些什么（2015版）,村上春树,34.2,南海出版公司
小王子（畅销350万册新版，法国“圣埃克苏佩里基金会”官方认可简体中文版）【果麦经典】,果麦文化 出品；安托万·德·圣埃克苏佩里,39.0,天津人民出版社
动物小说大王沈石溪·品藏书系新版：狼王梦,沈石溪,25.7,浙江少年儿童出版社
深入理解Java虚拟机：JVM高级特性与最佳实践（第2版）,周志明,65.2,机械工业出版社
暖房子游乐园·宫西达也小卡车绘本全5册（附赠5个授权小卡车拼插模型）,宫西达也,123.8,北京联合出版公司
走进奇妙的数学世界（套装全3册） （爱心树童书）,安野光雅,117.6,新星出版社
中国大历史：两晋南北朝+明史+秦汉史+清史+宋辽金夏元+隋唐五代+先秦史+中国近代史（套装共10册 第2版）,吕思勉,210.0,北京理工大学出版社
抖音推荐 励志书籍全10册 你不努力没人能给你想要的生活全十册 别在吃苦的年纪选择安逸 青春励志书籍,,39.8,青岛出版社
写给儿童的中华成语故事：彩图注音版（套装全四册）,刘建峰,94.8,吉林美术出版社
三毛全集02：撒哈拉的故事,三毛,35.0,北京十月文艺出版社
赋能：打造应对不确定性的敏捷团队,斯坦利·麦克里斯特尔,43.5,中信出版集团
揭秘古诗词/二十四节气/丝绸之路/汉字（3-6岁少儿科普翻翻书套装共4册）揭秘系列好玩又好学 乐乐趣童书出品,郭志瑞,199.0,未来出版社
汤姆.索亚历险记（世界文学名著少儿拓展阅读·注音版）,马克吐温,53.1,江西美术出版社
繁华落尽是孤独,季羡林,37.0,鹭江出版社
朝花夕拾 语文新课标必读丛书 教育部推荐中小学生必读名著,鲁迅,13.8,北京师范大学出版社
一条聪明的鱼 小学指定书单必备 蒲蒲兰绘本,克里斯·沃梅尔,35.4,连环画出版社
DK儿童数学思维手册,迈克·戈德史密斯,50.0,科学普及出版社
对比Excel，轻松学习Python数据分析,张俊红,56.1,电子工业出版社
东野圭吾：我杀了他,东野圭吾,52.3,南海出版公司
东野圭吾：秘密（无删节精装典藏版）,东野圭吾,45.0,南海出版公司
童立方·猜猜我是谁系列套装：宝宝的第一本躲猫猫洞洞纸板游戏书（套装共5册）,尼娜·兰登,76.0,辽宁少年儿童出版社
伊索寓言全集,伊索,51.0,吉林美术出版社
恰到好处的孤独,麦子奇,28.0,北京时代华文书局
伊索寓言（儿童注音美绘本）,伊索,36.4,北方妇女儿童出版社
点点点+变变变（套装共2册）宝宝视觉技法锻炼 1-3岁 蒲蒲兰绘本,埃尔维.杜莱,89.1,二十一世纪出版社
宫西达也 跟屁虫 让孩子体察情绪的轻松绘本 2-4岁 蒲蒲兰绘本,"宫西达也,",31.7,二十一世纪出版社
罗尔德·达尔作品典藏·查理和巧克力工厂, 罗尔德·达尔 著,21.8,明天出版社
漫眼看历史·中华文化遗产图画书（套装共12册）,思宇,100.0,四川少年儿童出版社
社会心理学（第11版 中文平装版）,戴维·迈尔斯,102.4,人民邮电出版社
大动乱的年代:1949-1976年的中国,王年一,35.0,人民出版社
中国文脉,余秋雨,38.0,长江文艺出版社
企鹅日历2020 Penguin Calendar 2020,企鹅兰登中国,96.0,中信出版集团股份有限公司
抖音推荐 正版10册 鬼谷子 人性的弱点 羊皮卷 九型人格 方与圆 狼道 墨菲定律 情商励志成功学书,,49.8,
茶馆,老舍,17.3,作家出版社
红星照耀中国（此版本内含丰富插图 畅销800万册 教育部指定版本）,埃德加·斯诺,40.9,人民文学出版社
人性的枷锁（如果你正在对自己的人生感到迷茫，一定要读《人性的枷锁》！全新精装珍藏版）读客经典文库,毛姆,94.9,江苏凤凰文艺出版社
老人与海（2018年全本无删节插图版，海明威故居收藏）,海明威,28.8,黑龙江科学技术出版社
笠翁对韵（全本）/语文新课标必读书,李渔,16.2,中国文史出版社
心流：最优体验心理学,米哈里·契克森米哈赖,36.8,中信出版集团
企鹅萌萌AR 宝宝安全教育必备丛书（套装全8册）,上海仙剑文化传媒股份有限公司,70.4,山东美术出版社
朗读者II（套装1-3辑）,董卿,130.2,人民文学出版社
莫泊桑短篇小说集,莫泊桑,31.1,黑龙江科学技术出版社
我的时间（套装全3册）一年有十二个月、一个星期有七天、一天有二十四小时,安娜·彼得斯,91.2,阳光出版社
东野圭吾：我的老师是侦探 （爱心树童书）,东野圭吾,39.1,南海出版公司
小王子三部曲（一直以来，我们只读了《小王子》的三分之一！纪念小王子诞生75周年完整珍藏版！全新译本、全新彩色插图完整重现《小王子》原貌,圣-埃克苏佩里,94.9,文汇出版社
产品思维:从新手到资深产品经理,刘飞,44.9,中信出版集团
月亮与六便士（未删减足本，毛姆经典著作，毛姆故居典藏版本，豆瓣高分推荐！）, 毛姆,31.1,开明出版社
博尔赫斯全集·第一辑（套装16册）,豪尔赫·路易斯·博尔赫斯,327.8,上海译文出版社
自我保护意识培养第2辑:我不会走丢+绝对不能保守的秘密（套装全2册 2016版）,达柯玛尔·盖斯勒,50.0,辽宁人民出版社
红星照耀中国（又译《西行漫记》）（畅销800万册 青少版 人民文学出版社）教育部八年级上语文教科书名著导读指定书目,埃德加·斯诺,22.7,人民文学出版社
童立方·猜猜我是谁系列套装：宝宝的第一本躲猫猫洞洞纸板游戏书（套装共5册）,尼娜·兰登,76.0,辽宁少年儿童出版社
伊索寓言全集,伊索,51.0,吉林美术出版社
恰到好处的孤独,麦子奇,28.0,北京时代华文书局
伊索寓言（儿童注音美绘本）,伊索,36.4,北方妇女儿童出版社
点点点+变变变（套装共2册）宝宝视觉技法锻炼 1-3岁 蒲蒲兰绘本,埃尔维.杜莱,89.1,二十一世纪出版社
宫西达也 跟屁虫 让孩子体察情绪的轻松绘本 2-4岁 蒲蒲兰绘本,"宫西达也,",31.7,二十一世纪出版社
罗尔德·达尔作品典藏·查理和巧克力工厂, 罗尔德·达尔 著,21.8,明天出版社
漫眼看历史·中华文化遗产图画书（套装共12册）,思宇,100.0,四川少年儿童出版社
社会心理学（第11版 中文平装版）,戴维·迈尔斯,102.4,人民邮电出版社
大动乱的年代:1949-1976年的中国,王年一,35.0,人民出版社
中国文脉,余秋雨,38.0,长江文艺出版社
企鹅日历2020 Penguin Calendar 2020,企鹅兰登中国,96.0,中信出版集团股份有限公司
抖音推荐 正版10册 鬼谷子 人性的弱点 羊皮卷 九型人格 方与圆 狼道 墨菲定律 情商励志成功学书,,49.8,
茶馆,老舍,17.3,作家出版社
红星照耀中国（此版本内含丰富插图 畅销800万册 教育部指定版本）,埃德加·斯诺,40.9,人民文学出版社
人性的枷锁（如果你正在对自己的人生感到迷茫，一定要读《人性的枷锁》！全新精装珍藏版）读客经典文库,毛姆,94.9,江苏凤凰文艺出版社
老人与海（2018年全本无删节插图版，海明威故居收藏）,海明威,28.8,黑龙江科学技术出版社
笠翁对韵（全本）/语文新课标必读书,李渔,16.2,中国文史出版社
心流：最优体验心理学,米哈里·契克森米哈赖,36.8,中信出版集团
企鹅萌萌AR 宝宝安全教育必备丛书（套装全8册）,上海仙剑文化传媒股份有限公司,70.4,山东美术出版社
朗读者II（套装1-3辑）,董卿,130.2,人民文学出版社
莫泊桑短篇小说集,莫泊桑,31.1,黑龙江科学技术出版社
我的时间（套装全3册）一年有十二个月、一个星期有七天、一天有二十四小时,安娜·彼得斯,91.2,阳光出版社
东野圭吾：我的老师是侦探 （爱心树童书）,东野圭吾,39.1,南海出版公司
小王子三部曲（一直以来，我们只读了《小王子》的三分之一！纪念小王子诞生75周年完整珍藏版！全新译本、全新彩色插图完整重现《小王子》原貌,圣-埃克苏佩里,94.9,文汇出版社
产品思维:从新手到资深产品经理,刘飞,44.9,中信出版集团
月亮与六便士（未删减足本，毛姆经典著作，毛姆故居典藏版本，豆瓣高分推荐！）, 毛姆,31.1,开明出版社
博尔赫斯全集·第一辑（套装16册）,豪尔赫·路易斯·博尔赫斯,327.8,上海译文出版社
自我保护意识培养第2辑:我不会走丢+绝对不能保守的秘密（套装全2册 2016版）,达柯玛尔·盖斯勒,50.0,辽宁人民出版社
红星照耀中国（又译《西行漫记》）（畅销800万册 青少版 人民文学出版社）教育部八年级上语文教科书名著导读指定书目,埃德加·斯诺,22.7,人民文学出版社
半小时漫画中国史,二混子,37.9,江苏凤凰文艺出版社
探索科学百科丛书全8册11-14岁青少年儿童百科全书十万个为什么科普书籍中小学生宇宙恐龙动物海洋揭秘,,128.0,湖北科学技术出版社
神奇树屋故事系列基础版第1-7辑中文新版（1-28册）典藏全集 Magic Tree House,玛丽·波·奥斯本,400.0,广东新世纪出版社
论语全解 精装读书会99元10本书,方韬,34.6,南京出版社
快乐读书吧四年级上册指定阅读：中国古代神话+希腊神话故事+山海经（套装共3册） 智慧熊,施瓦布,63.5,南方出版社
人间失格,太宰治,22.4,中国友谊出版公司
DK儿童百科全书系列-蓝盒装(套装全5册),英国DK公司出版社,600.0,中国大百科全书出版社
一口气就能读完的大秦史+大汉史+大唐史+大明史+大清史（套装全5册）,覃仕勇,142.2,台海出版社
动物小说大王沈石溪品藏书系新版：斑羚飞渡 五年级推荐课外阅读书,沈石溪,23.8,浙江少年儿童出版社
利用Python进行数据分析（原书第2版）,韦斯·麦金尼,98.2,机械工业出版社
小鸡鸡的故事 让孩子保护自己的身体 儿童安全教育和性教育必备 幼儿园指定书单必备蒲蒲兰绘本（套装共2册）,山本直英,71.3,连环画出版社
汗青堂丛书001:五四运动史:现代中国的知识革命(精装),周策纵,82.5,四川人民出版社
汤姆·索亚历险记（彩插励志版 无障碍阅读）/新课标必读名著，智慧熊,马克·吐温,11.8,商务印书馆
黄金时代,王小波,33.3,北京十月文艺出版社
剑指Offer：名企面试官精讲典型编程题（第2版）,何海涛,61.8,电子工业出版社
陈寅恪魏晋南北朝史讲演录,陈寅恪,37.8,天津人民出版社
爱的教育（彩插励志版 无障碍阅读）/新课标必读名著，智慧熊,亚米契斯,11.8,商务印书馆
假如给我三天光明（彩插励志版 无障碍阅读）/新课标必读名著，智慧熊,海伦·凯勒,11.8,商务印书馆
世界兵器大全（儿童注音版）,张斌,36.4,北方妇女儿童出版社
世界经典童话双语系列绘本（套装全20册）,孙静,70.0,长江出版社
稻草人（彩图注音版）/小学生语文新课标必读丛书,叶圣陶,10.9,北京教育出版社
精灵鼠科学童话绘本（套装共6册）,徐姣,85.3,四川少年儿童出版社
稻草人（彩插励志版）/新课标必读名著·无障碍阅读，智慧熊,叶圣陶,15.0,商务印书馆
余秋雨 文化苦旅（1-9年级必读书单）,余秋雨,38.0,长江文艺出版社
鲁滨孙漂流记（彩插励志版 无障碍阅读）/新课标必读名著，智慧熊,笛福,14.1,商务印书馆
安徒生童话+格林童话+伊索寓言+一千零一夜（彩图注音版）（套装全4册）,安徒生,30.6,北京教育出版社
昆虫记（彩插励志版 无障碍阅读）部编版阅读八年级上推荐必读，智慧熊,法布尔,11.8,商务印书馆
白说,白岩松,27.4,长江文艺出版社
Spring Boot编程思想（核心篇）,小马哥,112.1,电子工业出版社
史记（青少版）,司马迁,24.6,中国文史出版社
